   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     798.10       8.000       0.000       0.000       0.000      26.800       9.380       0.000       9.380      10.829
     799.00       8.000       0.000       0.000       0.000      35.157      10.723       0.000      10.723      10.815
     799.50       8.000       0.000       0.000       0.000      39.800      11.144       0.000      11.144      10.807
     800.00       8.000       0.000       0.000       0.000      36.800      12.232       0.000      12.232      10.800
     800.50      16.700       0.000       0.000       0.000      33.800      13.005       0.000      13.005      10.795
     801.00      40.000       0.000       0.000       0.000      30.800      13.464       0.000      13.464      10.790
     801.50     104.000       0.000       0.000       0.000      27.800      13.609       0.000      13.609      10.785
     801.60      91.203       0.000       0.000       0.000      27.200      13.600       0.000      13.600      10.784
     802.00      40.000       0.000       0.000       0.000      30.000      12.960       0.000      12.960      10.780
     802.60      16.601       0.000       0.000       0.000      34.200      11.286       0.000      11.286      10.774
     803.00       1.000       0.000       0.000       0.000      30.555       8.997       0.000       8.997      10.770
     803.50       3.850       0.000       0.000       0.000      26.000       6.500       0.000       6.500      10.765
     804.00       6.700       0.000       0.000       0.000      33.219       9.550       0.000       9.550      10.760
     804.27       7.822       0.000       0.000       0.000      37.074      11.401       0.000      11.401      10.757
     804.38       8.296       0.000       0.000       0.000      38.705      12.231       0.000      12.231      10.756
     804.50       8.800       0.000       0.000       0.000      40.438      13.142       0.000      13.142      10.755
     804.78       9.955       0.000       0.000       0.000      44.408      15.349       0.000      15.349      10.752
     804.85      10.262       0.000       0.000       0.000      45.462      15.962       0.000      15.962      10.752
     805.00      10.900       0.000       0.000       0.000      47.657      17.276       0.000      17.276      10.750
     805.10      11.320       0.000       0.000       0.000      49.100      18.167       0.000      18.167      10.749
     805.29      12.139       0.000       0.000       0.000      46.924      17.603       0.000      17.603      10.747
     805.44      12.748       0.000       0.000       0.000      45.306      17.169       0.000      17.169      10.746
     805.50      13.000       0.000       0.000       0.000      44.637      16.985       0.000      16.985      10.745
     805.74      56.856       0.000       0.000       0.000      41.903      16.215       0.000      16.215      10.743
     805.77      61.335       0.000       0.000       0.000      41.624      16.135       0.000      16.135      10.742
     805.80      66.700       0.000       0.000       0.000      41.289      16.038       0.000      16.038      10.742
     805.81      64.263       0.000       0.000       0.000      41.178      16.005       0.000      16.005      10.742
     806.00      18.000       0.000       0.000       0.000      39.058      15.376       0.000      15.376      10.740
     806.23      95.945       0.000       0.000       0.000      36.480      14.583       0.000      14.583      10.738
     806.42     159.702       0.000       0.000       0.000      34.372      13.911       0.000      13.911      10.736
     806.49     183.323       0.000       0.000       0.000      33.591      13.657       0.000      13.657      10.735
     806.50     186.700       0.000       0.000       0.000      33.479      13.621       0.000      13.621      10.735
     806.60     200.000       0.000       0.000       0.000      32.363      13.252       0.000      13.252      10.734
     807.00      46.700       0.000       0.000       0.000      27.900      11.718       0.000      11.718      10.730
     808.00       6.700       0.000       0.000       0.000      34.983      10.612       0.000      10.612      10.720
     808.20       4.420       0.000       0.000       0.000      36.400      10.192       0.000      10.192      10.718
